rank_,words,English Translation
1,研究生以上学历,Master and Ph.D degree
2,并行计算,Parallel Computation
3,音频算法,Audio Algorithm
4,熟悉数据结构,Data Structure
5,建模分析,Modelling Analysis
6,mapreduce,Map Reduce
7,iccv,ICCV Publication
8,cvpr,CVPR Publication
9,协同过滤,Collaborative Filtering
10,系统架构,System Structure
11,语义分割,Semantic Segmentation
12,算法,Algorithm
13,海量数据,Big Data
14,ocr,Optical Character Recognition
15,风控,Risk Control
16,excel,Excel
17,办公软件,Office Software
18,office,Microsoft Office
19,报表,Data Report
20,大专以上学历,College Degree
21,理论知识,Theoretical Background
22,研究成果,Research Achievement
23,access,Access Database
24,目标检测,Object Detection
25,开源库,Open Source Packages
26,数据收集,Data Collection
27,fpga,Field-Programmable Gate Array
29,词性标注，,Part of speech (POS) tagging
30,数据运营,Operation Data
31,优化算法,Optimization
32,自学能力,Self Learning Ability
33,图像分类,Image Classification
34,充满激情,Working Passion
35,命名实体识别,Named-Entity Recognition
36,vba,VBA
37,分析数据,Data Analysis
38,提供数据,Providing Data
39,lstm,Long Short Term Memory
40,博士,Ph.D Degree
41,分析报告,Data Report
42,仿真,Simulation
43,ppt,PPT
44,场景,Scenarios
45,软件工程,Software Engineering
46,erp,Enterprise Resource Planning
47,数据整理,Data Cleaning
49,vb,Visual Basic
50,语义分析,Semantic Analysis
51,嵌入式,Embedded Software Development
53,算法设计,Algorithm Design
54,机器人,Robotics
55,数据管理,Data Management
56,深度学习,Deep Learning
57,检测识别,Object Detection and Identification
58,数据统计,Data Summary
59,英文文献,Literature
60,slam,Simultaneous Localization and Mapping
61,引擎,Engine
62,cnn,Convolutional Neural Network
65,传感器,Sensor
67,ar,Augmented Reality
68,机器翻译,Automatic Translation
69,boost,Boost Algorithm
70,数据分析,Data Analysis
71,情感分析,Emotion Analysis
72,数据支持,Data Support
74,数据提取,Data Extraction
75,cv,Computer Vision
76,信息检索,Information Retrieva
77,工程师,Engineer
78,arm,ARM Architecture
80,目标跟踪,Object Tracking